Deaths,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,recorded-deaths,Death
19,,2020,2020,K04000001,England and Wales,week-45,Week 45 ending 06-Nov-20,female,Female,55-59,55-59,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-21,Week 21 ending 22-May-20,all,All,0-1,00-01,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
327,,2020,2020,K04000001,England and Wales,week-18,Week 18 ending 01-May-20,male,Male,70-74,70-74,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-10,Week 10 ending 06-Mar-20,all,All,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 03 ending 17-Jan-20,all,All,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
7,,2020,2020,K04000001,England and Wales,week-27,Week 27 ending 03-Jul-20,all,All,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-36,Week 36 ending 04-Sep-20,female,Female,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-2,Week 02 ending 10-Jan-20,all,All,0-1,00-01,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
48,,2020,2020,K04000001,England and Wales,week-21,Week 21 ending 22-May-20,all,All,55-59,55-59,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
7,,2020,2020,K04000001,England and Wales,week-14,Week 14 ending 03-Apr-20,male,Male,35-39,35-39,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
91,,2020,2020,K04000001,England and Wales,week-45,Week 45 ending 06-Nov-20,male,Male,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
291,,2020,2020,K04000001,England and Wales,week-13,Week 13 ending 27-Mar-20,all,All,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
11,,2020,2020,K04000001,England and Wales,week-23,Week 23 ending 05-Jun-20,male,Male,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
10,,2020,2020,K04000001,England and Wales,week-43,Week 43 ending 23-Oct-20,all,All,45-49,45-49,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-1,Week 01 ending 03-Jan-20,male,Male,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-7,Week 07 ending 14-Feb-20,all,All,25-29,25-29,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
130,,2020,2020,K04000001,England and Wales,week-23,Week 23 ending 05-Jun-20,female,Female,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-26,Week 26 ending 26-Jun-20,all,All,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-11,Week 11 ending 13-Mar-20,male,Male,25-29,25-29,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
249,,2020,2020,K04000001,England and Wales,week-43,Week 43 ending 23-Oct-20,all,All,85-89,85-89,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
347,,2020,2020,K04000001,England and Wales,week-20,Week 20 ending 15-May-20,all,All,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-46,Week 46 ending 13-Nov-20,male,Male,1-4,01-04,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-1,Week 01 ending 03-Jan-20,female,Female,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
26,,2020,2020,K04000001,England and Wales,week-28,Week 28 ending 10-Jul-20,female,Female,80-84,80-84,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-27,Week 27 ending 03-Jul-20,female,Female,0-1,00-01,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2020,2020,K04000001,England and Wales,week-47,Week 47 ending 20-Nov-20,female,Female,all,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-41,Week 41 ending 09-Oct-20,female,Female,5-9,05-09,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2020,2020,K04000001,England and Wales,week-45,Week 45 ending 06-Nov-20,male,Male,all,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
49,,2020,2020,K04000001,England and Wales,week-22,Week 22 ending 29-May-20,female,Female,70-74,70-74,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
2,,2020,2020,K04000001,England and Wales,week-11,Week 11 ending 13-Mar-20,female,Female,70-74,70-74,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
2,,2020,2020,K04000001,England and Wales,week-20,Week 20 ending 15-May-20,female,Female,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
141,,2020,2020,K04000001,England and Wales,week-44,Week 44 ending 30-Oct-20,male,Male,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-11,Week 11 ending 13-Mar-20,female,Female,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-13,Week 13 ending 27-Mar-20,male,Male,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1,,2020,2020,K04000001,England and Wales,week-32,Week 32 ending 07-Aug-20,female,Female,55-59,55-59,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
108,,2020,2020,K04000001,England and Wales,week-42,Week 42 ending 16-Oct-20,all,All,75-79,75-79,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-39,Week 39 ending 25-Sep-20,male,Male,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-26,Week 26 ending 26-Jun-20,male,Male,0-1,00-01,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-6,Week 06 ending 07-Feb-20,all,All,85-89,85-89,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-22,Week 22 ending 29-May-20,male,Male,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-40,Week 40 ending 02-Oct-20,female,Female,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
954,,2020,2020,K04000001,England and Wales,week-16,Week 16 ending 17-Apr-20,female,Female,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-3,Week 03 ending 17-Jan-20,male,Male,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-5,Week 05 ending 31-Jan-20,all,All,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-43,Week 43 ending 23-Oct-20,male,Male,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-45,Week 45 ending 06-Nov-20,male,Male,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-8,Week 08 ending 21-Feb-20,male,Male,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-4,Week 04 ending 24-Jan-20,female,Female,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
257,,2020,2020,K04000001,England and Wales,week-23,Week 23 ending 05-Jun-20,female,Female,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-18,Week 18 ending 01-May-20,male,Male,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-17,Week 17 ending 24-Apr-20,all,All,0-1,00-01,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-37,Week 37 ending 11-Sep-20,male,Male,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,all,All,5-9,05-09,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
8,,2020,2020,K04000001,England and Wales,week-47,Week 47 ending 20-Nov-20,all,All,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-1,Week 01 ending 03-Jan-20,female,Female,35-39,35-39,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1,,2020,2020,K04000001,England and Wales,week-29,Week 29 ending 17-Jul-20,male,Male,60-64,60-64,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-29,Week 29 ending 17-Jul-20,male,Male,5-9,05-09,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-30,Week 30 ending 24-Jul-20,male,Male,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-33,Week 33 ending 14-Aug-20,male,Male,40-44,40-44,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-29,Week 29 ending 17-Jul-20,female,Female,10-14,10-14,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
60,,2020,2020,K04000001,England and Wales,week-41,Week 41 ending 09-Oct-20,male,Male,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2020,2020,K04000001,England and Wales,week-30,Week 30 ending 24-Jul-20,male,Male,all,All ages,total-registered-deaths,Total registered deaths
295,,2020,2020,K04000001,England and Wales,week-15,Week 15 ending 10-Apr-20,female,Female,70-74,70-74,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
28,,2020,2020,K04000001,England and Wales,week-21,Week 21 ending 22-May-20,female,Female,60-64,60-64,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
5,,2020,2020,K04000001,England and Wales,week-13,Week 13 ending 27-Mar-20,male,Male,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
32,,2020,2020,K04000001,England and Wales,week-42,Week 42 ending 16-Oct-20,all,All,60-64,60-64,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-3,Week 03 ending 17-Jan-20,all,All,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
15,,2020,2020,K04000001,England and Wales,week-33,Week 33 ending 14-Aug-20,female,Female,85-89,85-89,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
281,,2020,2020,K04000001,England and Wales,week-48,Week 48 ending 27-Nov-20,female,Female,85-89,85-89,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
261,,2020,2020,K04000001,England and Wales,week-41,Week 41 ending 09-Oct-20,all,All,50-54,50-54,total-registered-deaths,Total registered deaths
2780,,2020,2020,K04000001,England and Wales,week-21,Week 21 ending 22-May-20,all,All,90+,90+,total-registered-deaths,Total registered deaths
3,,2020,2020,K04000001,England and Wales,week-28,Week 28 ending 10-Jul-20,female,Female,15-19,15-19,total-registered-deaths,Total registered deaths
34,,2020,2020,K04000001,England and Wales,week-47,Week 47 ending 20-Nov-20,male,Male,0-1,00-01,total-registered-deaths,Total registered deaths
11,,2020,2020,K04000001,England and Wales,week-17,Week 17 ending 24-Apr-20,all,All,15-19,15-19,total-registered-deaths,Total registered deaths
8,,2020,2020,K04000001,England and Wales,week-42,Week 42 ending 16-Oct-20,male,Male,15-19,15-19,total-registered-deaths,Total registered deaths
817,,2020,2020,K04000001,England and Wales,week-34,Week 34 ending 21-Aug-20,male,Male,80-84,80-84,total-registered-deaths,Total registered deaths
12,,2020,2020,K04000001,England and Wales,week-30,Week 30 ending 24-Jul-20,male,Male,25-29,25-29,total-registered-deaths,Total registered deaths
53,,2020,2020,K04000001,England and Wales,week-10,Week 10 ending 06-Mar-20,all,All,30-34,30-34,total-registered-deaths,Total registered deaths
71,,2020,2020,K04000001,England and Wales,week-48,Week 48 ending 27-Nov-20,female,Female,45-49,45-49,total-registered-deaths,Total registered deaths
18,,2020,2020,K04000001,England and Wales,week-45,Week 45 ending 06-Nov-20,female,Female,30-34,30-34,total-registered-deaths,Total registered deaths
775,,2020,2020,K04000001,England and Wales,week-40,Week 40 ending 02-Oct-20,female,Female,80-84,80-84,total-registered-deaths,Total registered deaths
364,,2020,2020,K04000001,England and Wales,week-42,Week 42 ending 16-Oct-20,male,Male,65-69,65-69,total-registered-deaths,Total registered deaths
19,,2020,2020,K04000001,England and Wales,week-35,Week 35 ending 28-Aug-20,all,All,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2,,2020,2020,K04000001,England and Wales,week-41,Week 41 ending 09-Oct-20,female,Female,1-4,01-04,total-registered-deaths,Total registered deaths
203,,2020,2020,K04000001,England and Wales,week-47,Week 47 ending 20-Nov-20,male,Male,50-54,50-54,total-registered-deaths,Total registered deaths
402,,2020,2020,K04000001,England and Wales,week-45,Week 45 ending 06-Nov-20,all,All,55-59,55-59,total-registered-deaths,Total registered deaths
267,,2020,2020,K04000001,England and Wales,week-19,Week 19 ending 08-May-20,all,All,50-54,50-54,total-registered-deaths,Total registered deaths
24,,2020,2020,K04000001,England and Wales,week-35,Week 35 ending 28-Aug-20,female,Female,40-44,40-44,total-registered-deaths,Total registered deaths
64,,2020,2020,K04000001,England and Wales,week-46,Week 46 ending 13-Nov-20,all,All,30-34,30-34,total-registered-deaths,Total registered deaths
3,,2020,2020,K04000001,England and Wales,week-15,Week 15 ending 10-Apr-20,male,Male,1-4,01-04,total-registered-deaths,Total registered deaths
677,,2020,2020,K04000001,England and Wales,week-38,Week 38 ending 18-Sep-20,male,Male,75-79,75-79,total-registered-deaths,Total registered deaths
113,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,all,All,40-44,40-44,total-registered-deaths,Total registered deaths
3,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,all,All,10-14,10-14,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-13,Week 13 ending 27-Mar-20,female,Female,5-9,05-09,total-registered-deaths,Total registered deaths
17,,2020,2020,K04000001,England and Wales,week-47,Week 47 ending 20-Nov-20,all,All,20-24,20-24,total-registered-deaths,Total registered deaths
536,,2020,2020,K04000001,England and Wales,week-25,Week 25 ending 19-Jun-20,male,Male,70-74,70-74,total-registered-deaths,Total registered deaths
416,,2020,2020,K04000001,England and Wales,week-48,Week 48 ending 27-Nov-20,all,All,55-59,55-59,total-registered-deaths,Total registered deaths
4,,2020,2020,K04000001,England and Wales,week-21,Week 21 ending 22-May-20,female,Female,20-24,20-24,total-registered-deaths,Total registered deaths
1797,,2020,2020,K04000001,England and Wales,week-15,Week 15 ending 10-Apr-20,all,All,70-74,70-74,total-registered-deaths,Total registered deaths
58,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,all,All,35-39,35-39,total-registered-deaths,Total registered deaths
124,,2020,2020,K04000001,England and Wales,week-42,Week 42 ending 16-Oct-20,female,Female,50-54,50-54,total-registered-deaths,Total registered deaths
924,,2020,2020,K04000001,England and Wales,week-2,Week 02 ending 10-Jan-20,male,Male,75-79,75-79,total-registered-deaths,Total registered deaths
751,,2020,2020,K04000001,England and Wales,week-33,Week 33 ending 14-Aug-20,male,Male,85-89,85-89,total-registered-deaths,Total registered deaths
144,,2020,2020,K04000001,England and Wales,week-25,Week 25 ending 19-Jun-20,all,All,45-49,45-49,total-registered-deaths,Total registered deaths
797,,2020,2020,K04000001,England and Wales,week-46,Week 46 ending 13-Nov-20,male,Male,70-74,70-74,total-registered-deaths,Total registered deaths
27,,2020,2020,K04000001,England and Wales,week-35,Week 35 ending 28-Aug-20,female,Female,35-39,35-39,total-registered-deaths,Total registered deaths
347,,2020,2020,K04000001,England and Wales,week-9,Week 09 ending 28-Feb-20,all,All,55-59,55-59,total-registered-deaths,Total registered deaths
73,,2020,2020,K04000001,England and Wales,week-42,Week 42 ending 16-Oct-20,all,All,35-39,35-39,total-registered-deaths,Total registered deaths
301,,2020,2020,K04000001,England and Wales,week-44,Week 44 ending 30-Oct-20,male,Male,60-64,60-64,total-registered-deaths,Total registered deaths
3,,2020,2020,K04000001,England and Wales,week-33,Week 33 ending 14-Aug-20,female,Female,15-19,15-19,total-registered-deaths,Total registered deaths
1319,,2020,2020,K04000001,England and Wales,week-37,Week 37 ending 11-Sep-20,female,Female,90+,90+,total-registered-deaths,Total registered deaths
25,,2020,2020,K04000001,England and Wales,week-17,Week 17 ending 24-Apr-20,female,Female,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-6,Week 06 ending 07-Feb-20,male,Male,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2,,2020,2020,K04000001,England and Wales,week-38,Week 38 ending 18-Sep-20,male,Male,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
139,,2020,2020,K04000001,England and Wales,week-17,Week 17 ending 24-Apr-20,all,All,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,female,Female,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-19,Week 19 ending 08-May-20,male,Male,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
8259,,2020,2020,K04000001,England and Wales,week-15,Week 15 ending 10-Apr-20,all,All,all,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-17,Week 17 ending 24-Apr-20,all,All,5-9,05-09,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-32,Week 32 ending 07-Aug-20,female,Female,40-44,40-44,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-24,Week 24 ending 12-Jun-20,all,All,0-1,00-01,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-23,Week 23 ending 05-Jun-20,female,Female,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
3,,2020,2020,K04000001,England and Wales,week-36,Week 36 ending 04-Sep-20,male,Male,65-69,65-69,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-8,Week 08 ending 21-Feb-20,all,All,10-14,10-14,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
5,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,male,Male,55-59,55-59,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
6,,2020,2020,K04000001,England and Wales,week-46,Week 46 ending 13-Nov-20,male,Male,40-44,40-44,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-41,Week 41 ending 09-Oct-20,male,Male,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-21,Week 21 ending 22-May-20,female,Female,25-29,25-29,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1,,2020,2020,K04000001,England and Wales,week-48,Week 48 ending 27-Nov-20,all,All,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-2,Week 02 ending 10-Jan-20,female,Female,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
24,,2020,2020,K04000001,England and Wales,week-39,Week 39 ending 25-Sep-20,male,Male,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
6,,2020,2020,K04000001,England and Wales,week-48,Week 48 ending 27-Nov-20,female,Female,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-12,Week 12 ending 20-Mar-20,all,All,1-4,01-04,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
132,,2020,2020,K04000001,England and Wales,week-13,Week 13 ending 27-Mar-20,all,All,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
5,,2020,2020,K04000001,England and Wales,week-35,Week 35 ending 28-Aug-20,all,All,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
27,,2020,2020,K04000001,England and Wales,week-13,Week 13 ending 27-Mar-20,all,All,45-49,45-49,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1,,2020,2020,K04000001,England and Wales,week-12,Week 12 ending 20-Mar-20,male,Male,40-44,40-44,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
8,,2020,2020,K04000001,England and Wales,week-19,Week 19 ending 08-May-20,male,Male,40-44,40-44,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
12,,2020,2020,K04000001,England and Wales,week-34,Week 34 ending 21-Aug-20,male,Male,80-84,80-84,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
166,,2020,2020,K04000001,England and Wales,week-45,Week 45 ending 06-Nov-20,female,Female,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-9,Week 09 ending 28-Feb-20,all,All,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
6,,2020,2020,K04000001,England and Wales,week-38,Week 38 ending 18-Sep-20,all,All,60-64,60-64,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-4,Week 04 ending 24-Jan-20,all,All,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-33,Week 33 ending 14-Aug-20,all,All,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-7,Week 07 ending 14-Feb-20,female,Female,70-74,70-74,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1,,2020,2020,K04000001,England and Wales,week-37,Week 37 ending 11-Sep-20,female,Female,50-54,50-54,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
119,,2020,2020,K04000001,England and Wales,week-24,Week 24 ending 12-Jun-20,all,All,75-79,75-79,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-6,Week 06 ending 07-Feb-20,female,Female,40-44,40-44,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
515,,2020,2020,K04000001,England and Wales,week-18,Week 18 ending 01-May-20,male,Male,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-2,Week 02 ending 10-Jan-20,female,Female,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-35,Week 35 ending 28-Aug-20,male,Male,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-36,Week 36 ending 04-Sep-20,female,Female,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
18,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,female,Female,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
358,,2020,2020,K04000001,England and Wales,week-47,Week 47 ending 20-Nov-20,female,Female,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
38,,2020,2020,K04000001,England and Wales,week-25,Week 25 ending 19-Jun-20,all,All,65-69,65-69,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
8,,2020,2020,K04000001,England and Wales,week-36,Week 36 ending 04-Sep-20,male,Male,85-89,85-89,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-27,Week 27 ending 03-Jul-20,all,All,0-1,00-01,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-39,Week 39 ending 25-Sep-20,male,Male,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2,,2020,2020,K04000001,England and Wales,week-35,Week 35 ending 28-Aug-20,all,All,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-12,Week 12 ending 20-Mar-20,all,All,0-1,00-01,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-23,Week 23 ending 05-Jun-20,male,Male,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1,,2020,2020,K04000001,England and Wales,week-23,Week 23 ending 05-Jun-20,all,All,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2,,2020,2020,K04000001,England and Wales,week-26,Week 26 ending 26-Jun-20,female,Female,45-49,45-49,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
44,,2020,2020,K04000001,England and Wales,week-11,Week 11 ending 13-Mar-20,all,All,all,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-34,Week 34 ending 21-Aug-20,female,Female,0-1,00-01,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-44,Week 44 ending 30-Oct-20,female,Female,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
27,,2020,2020,K04000001,England and Wales,week-31,Week 31 ending 31-Jul-20,male,Male,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
39,,2020,2020,K04000001,England and Wales,week-20,Week 20 ending 15-May-20,all,All,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-34,Week 34 ending 21-Aug-20,all,All,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-10,Week 10 ending 06-Mar-20,male,Male,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
0,,2020,2020,K04000001,England and Wales,week-1,Week 01 ending 03-Jan-20,female,Female,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
